00501,Holtsville,New York,NY
28530,Grifton,North Carolina,NC
28531,Harkers Island,North Carolina,NC
28532,Havelock,North Carolina,NC
28533,Cherry Point,North Carolina,NC
28537,Hobucken,North Carolina,NC
28538,Hookerton,North Carolina,NC
28539,Hubert,North Carolina,NC
28540,Jacksonville,North Carolina,NC
28542,Camp Lejeune,North Carolina,NC
28543,Tarawa Terrace,North Carolina,NC
28544,Midway Park,North Carolina,NC
28545,McCutcheon Field,North Carolina,NC
28551,La Grange,North Carolina,NC
28552,Lowland,North Carolina,NC
28553,Marshallberg,North Carolina,NC
28554,Maury,North Carolina,NC
28555,Maysville,North Carolina,NC
28556,Merritt,North Carolina,NC
28557,Morehead City,North Carolina,NC
28560,New Bern,North Carolina,NC
28570,Newport,North Carolina,NC
28571,Oriental,North Carolina,NC
28572,Pink Hill,North Carolina,NC
28573,Pollocksville,North Carolina,NC
28574,Richlands,North Carolina,NC
28575,Salter Path,North Carolina,NC
28577,Sealevel,North Carolina,NC
28578,Seven Springs,North Carolina,NC
28579,Smyrna,North Carolina,NC
28580,Snow Hill,North Carolina,NC
28581,Stacy,North Carolina,NC
28582,Stella,North Carolina,NC
28583,Stonewall,North Carolina,NC
28584,Swansboro,North Carolina,NC
28585,Trenton,North Carolina,NC
28586,Vanceboro,North Carolina,NC
28587,Vandemere,North Carolina,NC
28589,Williston,North Carolina,NC
28590,Winterville,North Carolina,NC
28594,Emerald Isle,North Carolina,NC
28601,Hickory,North Carolina,NC
28625,Statesville,North Carolina,NC
28656,North Wilkesboro,North Carolina,NC
28739,Hendersonville,North Carolina,NC
28801,Asheville,North Carolina,NC
29002,Ballentine,South Carolina,SC
29006,Batesburg,South Carolina,SC
29009,Bethune,South Carolina,SC
29010,Bishopville,South Carolina,SC
29016,Blythewood,South Carolina,SC
29020,Camden,South Carolina,SC
29032,Cassatt,South Carolina,SC
29033,Cayce,South Carolina,SC
29036,Chapin,South Carolina,SC
29037,Chappells,South Carolina,SC
29044,Eastover,South Carolina,SC
29045,Elgin,South Carolina,SC
29052,Gadsden,South Carolina,SC
29053,Gaston,South Carolina,SC
29059,Holly Hill,South Carolina,SC
29061,Hopkins,South Carolina,SC
29063,Irmo,South Carolina,SC
29067,Kershaw,South Carolina,SC
29069,Lamar,South Carolina,SC
29070,Leesville,South Carolina,SC
29071,Lexington,South Carolina,SC
29074,Liberty Hill,South Carolina,SC
29075,Little Mountain,South Carolina,SC
29078,Lugoff,South Carolina,SC
29080,Lynchburg,South Carolina,SC
29105,Monetta,South Carolina,SC
29108,Newberry,South Carolina,SC
29114,Olanta,South Carolina,SC
29115,Orangeburg,South Carolina,SC
29122,Peak,South Carolina,SC
29126,Pomaria,South Carolina,SC
29127,Prosperity,South Carolina,SC
29129,Ridge Spring,South Carolina,SC
29138,Saluda,South Carolina,SC
29145,Silverstreet,South Carolina,SC
29147,State Park,South Carolina,SC
29150,Sumter,South Carolina,SC
29161,Timmonsville,South Carolina,SC
29166,Ward,South Carolina,SC
29169,West Columbia,South Carolina,SC
29175,Westville,South Carolina,SC
29177,White Rock,South Carolina,SC
29178,Whitmire,South Carolina,SC
29201,Columbia,South Carolina,SC
29301,Spartanburg,South Carolina,SC
29316,Boiling Springs,South Carolina,SC
29320,Arcadia,South Carolina,SC
29322,Campobello,South Carolina,SC
29323,Chesnee,South Carolina,SC
29324,Clifton,South Carolina,SC
29325,Clinton,South Carolina,SC
29329,Converse,South Carolina,SC
29330,Cowpens,South Carolina,SC
29331,Cross Anchor,South Carolina,SC
29332,Cross Hill,South Carolina,SC
29333,Drayton,South Carolina,SC
29334,Duncan,South Carolina,SC
29335,Enoree,South Carolina,SC
29336,Fairforest,South Carolina,SC
29338,Fingerville,South Carolina,SC
29340,Gaffney,South Carolina,SC
29346,Glendale,South Carolina,SC
29348,Gramling,South Carolina,SC
29349,Inman,South Carolina,SC
29351,Joanna,South Carolina,SC
29355,Kinards,South Carolina,SC
29356,Landrum,South Carolina,SC
29360,Laurens,South Carolina,SC
29365,Lyman,South Carolina,SC
29368,Mayo,South Carolina,SC
29369,Moore,South Carolina,SC
29370,Mountville,South Carolina,SC
29372,Pacolet,South Carolina,SC
29373,Pacolet Mills,South Carolina,SC
29374,Pauline,South Carolina,SC
29375,Reidville,South Carolina,SC
29376,Roebuck,South Carolina,SC
29377,Startex,South Carolina,SC
29378,Una,South Carolina,SC
29384,Waterloo,South Carolina,SC
29385,Wellford,South Carolina,SC
29386,White Stone,South Carolina,SC
29388,Woodruff,South Carolina,SC
29401,Charleston,South Carolina,SC
29404,Charleston Air Force Base,South Carolina,SC
29405,North Charleston,South Carolina,SC
29426,Adams Run,South Carolina,SC
29429,Awendaw,South Carolina,SC
29431,Bonneau,South Carolina,SC
29434,Cordesville,South Carolina,SC
29436,Cross,South Carolina,SC
29439,Folly Beach,South Carolina,SC
29445,Goose Creek,South Carolina,SC
29449,Hollywood,South Carolina,SC
29450,Huger,South Carolina,SC
29451,Isle of Palms,South Carolina,SC
29453,Jamestown,South Carolina,SC
29455,Johns Island,South Carolina,SC
29456,Ladson,South Carolina,SC
29461,Moncks Corner,South Carolina,SC
29464,Mount Pleasant,South Carolina,SC
29468,Pineville,South Carolina,SC
29469,Pinopolis,South Carolina,SC
29470,Ravenel,South Carolina,SC
29476,Russellville,South Carolina,SC
29479,Saint Stephen,South Carolina,SC
29482,Sullivans Island,South Carolina,SC
29483,Summerville,South Carolina,SC
29487,Wadmalaw Island,South Carolina,SC
29501,Florence,South Carolina,SC
29526,Conway,South Carolina,SC
29530,Coward,South Carolina,SC
29532,Darlington,South Carolina,SC
29541,Effingham,South Carolina,SC
29550,Hartsville,South Carolina,SC
29560,Lake City,South Carolina,SC
29571,Marion,South Carolina,SC
29572,Myrtle Beach,South Carolina,SC
29574,Mullins,South Carolina,SC
29582,North Myrtle Beach,South Carolina,SC
29583,Pamplico,South Carolina,SC
29591,Scranton,South Carolina,SC
29592,Sellers,South Carolina,SC
29601,Greenville,South Carolina,SC
29620,Abbeville,South Carolina,SC
29621,Anderson,South Carolina,SC
29627,Belton,South Carolina,SC
29628,Calhoun Falls,South Carolina,SC
29630,Central,South Carolina,SC
29631,Clemson,South Carolina,SC
29635,Cleveland,South Carolina,SC
29636,Conestee,South Carolina,SC
29638,Donalds,South Carolina,SC
29639,Due West,South Carolina,SC
29640,Easley,South Carolina,SC
29643,Fair Play,South Carolina,SC
29644,Fountain Inn,South Carolina,SC
29645,Gray Court,South Carolina,SC
29646,Greenwood,South Carolina,SC
29650,Greer,South Carolina,SC
29653,Hodges,South Carolina,SC
29654,Honea Path,South Carolina,SC
29655,Iva,South Carolina,SC
29656,La France,South Carolina,SC
29657,Liberty,South Carolina,SC
29658,Long Creek,South Carolina,SC
29659,Lowndesville,South Carolina,SC
29661,Marietta,South Carolina,SC
29662,Mauldin,South Carolina,SC
29664,Mountain Rest,South Carolina,SC
29665,Newry,South Carolina,SC
29666,Ninety Six,South Carolina,SC
29667,Norris,South Carolina,SC
29669,Pelzer,South Carolina,SC
29670,Pendleton,South Carolina,SC
29671,Pickens,South Carolina,SC
29672,Seneca,South Carolina,SC
29673,Piedmont,South Carolina,SC
29675,Richland,South Carolina,SC
29676,Salem,South Carolina,SC
29677,Sandy Springs,South Carolina,SC
29680,Simpsonville,South Carolina,SC
29682,Six Mile,South Carolina,SC
29683,Slater,South Carolina,SC
29684,Starr,South Carolina,SC
29685,Sunset,South Carolina,SC
29686,Tamassee,South Carolina,SC
29687,Taylors,South Carolina,SC
29688,Tigerville,South Carolina,SC
29689,Townville,South Carolina,SC
29690,Travelers Rest,South Carolina,SC
29691,Walhalla,South Carolina,SC
29692,Ware Shoals,South Carolina,SC
29693,Westminster,South Carolina,SC
29696,West Union,South Carolina,SC
29697,Williamston,South Carolina,SC
29702,Blacksburg,South Carolina,SC
29708,Fort Mill,South Carolina,SC
29717,Hickory Grove,South Carolina,SC
29720,Lancaster,South Carolina,SC
29730,Rock Hill,South Carolina,SC
29801,Aiken,South Carolina,SC
29809,New Ellenton,South Carolina,SC
29816,Bath,South Carolina,SC
29819,Bradley,South Carolina,SC
29821,Clarks Hill,South Carolina,SC
29822,Clearwater,South Carolina,SC
29824,Edgefield,South Carolina,SC
29828,Gloverville,South Carolina,SC
29829,Graniteville,South Carolina,SC
29832,Johnston,South Carolina,SC
29834,Langley,South Carolina,SC
29835,McCormick,South Carolina,SC
29838,Modoc,South Carolina,SC
29839,Montmorenci,South Carolina,SC
29840,Mount Carmel,South Carolina,SC
29841,North Augusta,South Carolina,SC
29842,Beech Island,South Carolina,SC
29844,Parksville,South Carolina,SC
29845,Plum Branch,South Carolina,SC
29848,Troy,South Carolina,SC
29850,Vaucluse,South Carolina,SC
29851,Warrenville,South Carolina,SC
29856,Windsor,South Carolina,SC
29901,Beaufort,South Carolina,SC
29925,Hilton Head Island,South Carolina,SC
29938,Hilton Head Island,South Carolina,SC
30003,Norcross,Georgia,GA
30004,Alpharetta,Georgia,GA
30006,Marietta,Georgia,GA
30012,Conyers,Georgia,GA
30014,Covington,Georgia,GA
30028,Cumming,Georgia,GA
30030,Decatur,Georgia,GA
30042,Lawrenceville,Georgia,GA
30080,Smyrna,Georgia,GA
30083,Stone Mountain,Georgia,GA
30095,Duluth,Georgia,GA
30112,Carrollton,Georgia,GA
30114,Canton,Georgia,GA
30133,Douglasville,Georgia,GA
30144,Kennesaw,Georgia,GA
30161,Rome,Georgia,GA
30236,Jonesboro,Georgia,GA
30240,Lagrange,Georgia,GA
30263,Newnan,Georgia,GA
30301,Atlanta,Georgia,GA
30328,Atlanta,Georgia,GA
30458,Statesboro,Georgia,GA
30501,Gainesville,Georgia,GA
30515,Buford,Georgia,GA
30529,Commerce,Georgia,GA
30601,Athens,Georgia,GA
30719,Dalton,Georgia,GA
30805,Blythe,Georgia,GA
30809,Evans,Georgia,GA
30812,Gracewood,Georgia,GA
30813,Grovetown,Georgia,GA
30815,Hephzibah,Georgia,GA
30901,Augusta,Georgia,GA
31059,Milledgeville,Georgia,GA
31088,Warner Robins,Georgia,GA
31201,Macon,Georgia,GA
31302,Bloomingdale,Georgia,GA
31305,Darien,Georgia,GA
31307,Eden,Georgia,GA
31318,Meldrim,Georgia,GA
31322,Pooler,Georgia,GA
31324,Richmond Hill,Georgia,GA
31326,Rincon,Georgia,GA
31328,Tybee Island,Georgia,GA
31331,Townsend,Georgia,GA
31401,Savannah,Georgia,GA
31501,Waycross,Georgia,GA
31520,Brunswick,Georgia,GA
31522,Saint Simons Island,Georgia,GA
31527,Jekyll Island,Georgia,GA
31533,Douglas,Georgia,GA
31545,Jesup,Georgia,GA
31561,Sea Island,Georgia,GA
31565,Waverly,Georgia,GA
31601,Valdosta,Georgia,GA
31626,Boston,Georgia,GA
31701,Albany,Georgia,GA
31709,Americus,Georgia,GA
31720,Barwick,Georgia,GA
31730,Camilla,Georgia,GA
31738,Coolidge,Georgia,GA
31757,Thomasville,Georgia,GA
31765,Meigs,Georgia,GA
31768,Moultrie,Georgia,GA
31773,Ochlocknee,Georgia,GA
31778,Pavo,Georgia,GA
31779,Pelham,Georgia,GA
31901,Columbus,Georgia,GA
32003,Orange Park,Florida,FL
32004,Ponte Vedra Beach,Florida,FL
32006,Fleming Island,Florida,FL
32008,Branford,Florida,FL
32009,Bryceville,Florida,FL
32024,Lake City,Florida,FL
32030,Doctors Inlet,Florida,FL
32034,Fernandina Beach,Florida,FL
32038,Fort White,Florida,FL
32041,Yulee,Florida,FL
32044,Hampton,Florida,FL
32050,Middleburg,Florida,FL
32052,Jasper,Florida,FL
32053,Jennings,Florida,FL
32054,Lake Butler,Florida,FL
32060,Live Oak,Florida,FL
32061,Lulu,Florida,FL
32062,Mc Alpin,Florida,FL
32066,Mayo,Florida,FL
32071,O'Brien,Florida,FL
32072,Olustee,Florida,FL
32080,Saint Augustine,Florida,FL
32091,Starke,Florida,FL
32094,Wellborn,Florida,FL
32096,White Springs,Florida,FL
32099,Jacksonville,Florida,FL
32111,Candler,Florida,FL
32113,Citra,Florida,FL
32114,Daytona Beach,Florida,FL
32123,Port Orange,Florida,FL
32133,Eastlake Weir,Florida,FL
32134,Fort McCoy,Florida,FL
32135,Palm Coast,Florida,FL
32158,Lady Lake,Florida,FL
32162,Lady Lake,Florida,FL
32168,New Smyrna Beach,Florida,FL
32173,Ormond Beach,Florida,FL
32179,Ocklawaha,Florida,FL
32182,Orange Springs,Florida,FL
32192,Sparr,Florida,FL
32195,Weirsdale,Florida,FL
32233,Atlantic Beach,Florida,FL
32240,Jacksonville Beach,Florida,FL
32266,Neptune Beach,Florida,FL
32301,Tallahassee,Florida,FL
32326,Crawfordville,Florida,FL
32346,Panacea,Florida,FL
32351,Quincy,Florida,FL
32355,Saint Marks,Florida,FL
32358,Sopchoppy,Florida,FL
32362,Woodville,Florida,FL
32401,Panama City,Florida,FL
32407,Panama City Beach,Florida,FL
32410,Mexico Beach,Florida,FL
32422,Argyle,Florida,FL
32430,Clarksville,Florida,FL
32433,Defuniak Springs,Florida,FL
32434,Mossy Head,Florida,FL
32437,Ebro,Florida,FL
32438,Fountain,Florida,FL
32439,Freeport,Florida,FL
32444,Lynn Haven,Florida,FL
32446,Marianna,Florida,FL
32449,Wewahitchka,Florida,FL
32454,Point Washington,Florida,FL
32455,Ponce de Leon,Florida,FL
32456,Port Saint Joe,Florida,FL
32459,Santa Rosa Beach,Florida,FL
32461,Rosemary Beach,Florida,FL
32462,Vernon,Florida,FL
32466,Youngstown,Florida,FL
32501,Pensacola,Florida,FL
32530,Bagdad,Florida,FL
32531,Baker,Florida,FL
32533,Cantonment,Florida,FL
32535,Century,Florida,FL
32536,Crestview,Florida,FL
32537,Milligan,Florida,FL
32538,Paxton,Florida,FL
32540,Destin,Florida,FL
32542,Eglin Air Force Base,Florida,FL
32544,Hurlburt Field,Florida,FL
32547,Fort Walton Beach,Florida,FL
32550,Miramar Beach,Florida,FL
32560,Gonzalez,Florida,FL
32561,Gulf Breeze,Florida,FL
32564,Holt,Florida,FL
32565,Jay,Florida,FL
32566,Navarre,Florida,FL
32567,Laurel Hill,Florida,FL
32568,McDavid,Florida,FL
32569,Mary Esther,Florida,FL
32570,Milton,Florida,FL
32577,Molino,Florida,FL
32578,Niceville,Florida,FL
32579,Shalimar,Florida,FL
32580,Valparaiso,Florida,FL
32601,Gainesville,Florida,FL
32615,Alachua,Florida,FL
32617,Anthony,Florida,FL
32618,Archer,Florida,FL
32619,Bell,Florida,FL
32621,Bronson,Florida,FL
32622,Brooker,Florida,FL
32625,Cedar Key,Florida,FL
32626,Chiefland,Florida,FL
32631,Earleton,Florida,FL
32633,Evinston,Florida,FL
32634,Fairfield,Florida,FL
32640,Hawthorne,Florida,FL
32643,High Springs,Florida,FL
32656,Keystone Heights,Florida,FL
32658,La Crosse,Florida,FL
32662,Lochloosa,Florida,FL
32663,Lowell,Florida,FL
32664,Mc Intosh,Florida,FL
32666,Melrose,Florida,FL
32667,Micanopy,Florida,FL
32668,Morriston,Florida,FL
32669,Newberry,Florida,FL
32680,Old Town,Florida,FL
32681,Orange Lake,Florida,FL
32683,Otter Creek,Florida,FL
32686,Reddick,Florida,FL
32693,Trenton,Florida,FL
32694,Waldo,Florida,FL
32696,Williston,Florida,FL
32697,Worthington Springs,Florida,FL
32701,Altamonte Springs,Florida,FL
32702,Altoona,Florida,FL
32703,Apopka,Florida,FL
32707,Casselberry,Florida,FL
32720,Deland,Florida,FL
32725,Deltona,Florida,FL
32726,Eustis,Florida,FL
32750,Longwood,Florida,FL
32754,Mims,Florida,FL
32762,Oviedo,Florida,FL
32771,Sanford,Florida,FL
32775,Scottsmoor,Florida,FL
32780,Titusville,Florida,FL
32784,Umatilla,Florida,FL
32789,Winter Park,Florida,FL
32801,Orlando,Florida,FL
32901,Melbourne,Florida,FL
32903,Indialantic,Florida,FL
32905,Palm Bay,Florida,FL
32920,Cape Canaveral,Florida,FL
32922,Cocoa,Florida,FL
32925,Patrick Air Force Base,Florida,FL
32931,Cocoa Beach,Florida,FL
32937,Satellite Beach,Florida,FL
32948,Fellsmere,Florida,FL
32949,Grant,Florida,FL
32950,Malabar,Florida,FL
32951,Melbourne Beach,Florida,FL
32952,Merritt Island,Florida,FL
32955,Rockledge,Florida,FL
32957,Roseland,Florida,FL
32958,Sebastian,Florida,FL
32959,Sharpes,Florida,FL
32960,Vero Beach,Florida,FL
32970,Wabasso,Florida,FL
32971,Winter Beach,Florida,FL
33002,Hialeah,Florida,FL
33019,Hollywood,Florida,FL
33030,Homestead,Florida,FL
33040,Key West,Florida,FL
33054,Opa Locka,Florida,FL
33060,Pompano Beach,Florida,FL
33101,Miami,Florida,FL
33109,Miami Beach,Florida,FL
33301,Fort Lauderdale,Florida,FL
33401,West Palm Beach,Florida,FL
33424,Boynton Beach,Florida,FL
33427,Boca Raton,Florida,FL
33431,Boca Raton,Florida,FL
33441,Deerfield Beach,Florida,FL
33444,Delray Beach,Florida,FL
33454,Lake Worth,Florida,FL
33458,Jupiter,Florida,FL
33508,Brandon,Florida,FL
33523,Dade City,Florida,FL
33539,Zephyrhills,Florida,FL
33548,Lutz,Florida,FL
33563,Plant City,Florida,FL
33601,Tampa,Florida,FL
33701,Saint Petersburg,Florida,FL
33755,Clearwater,Florida,FL
33770,Largo,Florida,FL
33772,Seminole,Florida,FL
33780,Pinellas Park,Florida,FL
33801,Lakeland,Florida,FL
33836,Davenport,Florida,FL
33853,Lake Wales,Florida,FL
33870,Sebring,Florida,FL
33880,Winter Haven,Florida,FL
33901,Fort Myers,Florida,FL
33903,North Fort Myers,Florida,FL
33904,Cape Coral,Florida,FL
33936,Lehigh Acres,Florida,FL
33948,Port Charlotte,Florida,FL
33950,Punta Gorda,Florida,FL
34050,FPO,Armed Forces - Americas,AA
34101,Naples,Florida,FL
34133,Bonita Springs,Florida,FL
34201,Bradenton,Florida,FL
34223,Englewood,Florida,FL
34230,Sarasota,Florida,FL
34265,Arcadia,Florida,FL
34284,Venice,Florida,FL
34286,North Port,Florida,FL
34420,Belleview,Florida,FL
34423,Crystal River,Florida,FL
34430,Dunnellon,Florida,FL
34446,Homosassa,Florida,FL
34450,Inverness,Florida,FL
34470,Ocala,Florida,FL
34484,Oxford,Florida,FL
34488,Silver Springs,Florida,FL
34491,Summerfield,Florida,FL
34601,Brooksville,Florida,FL
34606,Spring Hill,Florida,FL
34652,New Port Richey,Florida,FL
34667,Hudson,Florida,FL
34682,Palm Harbor,Florida,FL
34690,Holiday,Florida,FL
34711,Clermont,Florida,FL
34741,Kissimmee,Florida,FL
34748,Leesburg,Florida,FL
34769,Saint Cloud,Florida,FL
34777,Winter Garden,Florida,FL
34945,Fort Pierce,Florida,FL
34952,Port Saint Lucie,Florida,FL
34972,Okeechobee,Florida,FL
34994,Stuart,Florida,FL
35020,Bessemer,Alabama,AL
35055,Cullman,Alabama,AL
35201,Birmingham,Alabama,AL
35401,Tuscaloosa,Alabama,AL
35473,Northport,Alabama,AL
35501,Jasper,Alabama,AL
35601,Decatur,Alabama,AL
35611,Athens,Alabama,AL
35630,Florence,Alabama,AL
35756,Madison,Alabama,AL
35801,Huntsville,Alabama,AL
35901,Gadsden,Alabama,AL
36066,Prattville,Alabama,AL
36079,Troy,Alabama,AL
36101,Montgomery,Alabama,AL
36201,Anniston,Alabama,AL
36301,Dothan,Alabama,AL
36460,Monroeville,Alabama,AL
36502,Atmore,Alabama,AL
36505,Axis,Alabama,AL
36507,Bay Minette,Alabama,AL
36509,Bayou La Batre,Alabama,AL
36511,Bon Secour,Alabama,AL
36512,Bucks,Alabama,AL
36521,Chunchula,Alabama,AL
36522,Citronelle,Alabama,AL
36523,Coden,Alabama,AL
36525,Creola,Alabama,AL
36526,Daphne,Alabama,AL
36527,Spanish Fort,Alabama,AL
36528,Dauphin Island,Alabama,AL
36530,Elberta,Alabama,AL
36532,Fairhope,Alabama,AL
36535,Foley,Alabama,AL
36541,Grand Bay,Alabama,AL
36542,Gulf Shores,Alabama,AL
36544,Irvington,Alabama,AL
36549,Lillian,Alabama,AL
36550,Little River,Alabama,AL
36551,Loxley,Alabama,AL
36555,Magnolia Springs,Alabama,AL
36558,Millry,Alabama,AL
36559,Montrose,Alabama,AL
36560,Mount Vernon,Alabama,AL
36561,Orange Beach,Alabama,AL
36562,Perdido,Alabama,AL
36564,Point Clear,Alabama,AL
36567,Robertsdale,Alabama,AL
36571,Saraland,Alabama,AL
36572,Satsuma,Alabama,AL
36574,Seminole,Alabama,AL
36575,Semmes,Alabama,AL
36576,Silverhill,Alabama,AL
36578,Stapleton,Alabama,AL
36579,Stockton,Alabama,AL
36580,Summerdale,Alabama,AL
36582,Theodore,Alabama,AL
36587,Wilmer,Alabama,AL
36601,Mobile,Alabama,AL
36613,Eight Mile,Alabama,AL
36701,Selma,Alabama,AL
36801,Opelika,Alabama,AL
36830,Auburn,Alabama,AL
36867,Phenix City,Alabama,AL
37040,Clarksville,Tennessee,TN
37064,Franklin,Tennessee,TN
37087,Lebanon,Tennessee,TN
37127,Murfreesboro,Tennessee,TN
37160,Shelbyville,Tennessee,TN
37201,Nashville,Tennessee,TN
37311,Cleveland,Tennessee,TN
37401,Chattanooga,Tennessee,TN
37501,Memphis,Tennessee,TN
37601,Johnson City,Tennessee,TN
37620,Bristol,Tennessee,TN
37660,Kingsport,Tennessee,TN
37743,Greeneville,Tennessee,TN
37801,Maryville,Tennessee,TN
37813,Morristown,Tennessee,TN
37862,Sevierville,Tennessee,TN
37901,Knoxville,Tennessee,TN
38016,Cordova,Tennessee,TN
38053,Millington,Tennessee,TN
38138,Germantown,Tennessee,TN
38301,Jackson,Tennessee,TN
38501,Cookeville,Tennessee,TN
38555,Crossville,Tennessee,TN
38701,Greenville,Mississippi,MS
38801,Tupelo,Mississippi,MS
39042,Brandon,Mississippi,MS
39056,Clinton,Mississippi,MS
39120,Natchez,Mississippi,MS
39180,Vicksburg,Mississippi,MS
39201,Jackson,Mississippi,MS
39301,Meridian,Mississippi,MS
39401,Hattiesburg,Mississippi,MS
39440,Laurel,Mississippi,MS
39501,Gulfport,Mississippi,MS
39530,Biloxi,Mississippi,MS
39564,Ocean Springs,Mississippi,MS
39567,Pascagoula,Mississippi,MS
39601,Brookhaven,Mississippi,MS
39701,Columbus,Mississippi,MS
39815,Attapulgus,Georgia,GA
39817,Bainbridge,Georgia,GA
39825,Brinson,Georgia,GA
39827,Cairo,Georgia,GA
39834,Climax,Georgia,GA
39837,Colquitt,Georgia,GA
39852,Fowlstown,Georgia,GA
39897,Whigham,Georgia,GA
40201,Louisville,Kentucky,KY
40383,Versailles,Kentucky,KY
40502,Lexington,Kentucky,KY
40601,Frankfort,Kentucky,KY
40741,London,Kentucky,KY
41011,Covington,Kentucky,KY
41071,Newport,Kentucky,KY
41101,Ashland,Kentucky,KY
41901,Migrate,Kentucky,KY
42001,Paducah,Kentucky,KY
42101,Bowling Green,Kentucky,KY
42301,Owensboro,Kentucky,KY
42501,Somerset,Kentucky,KY
43055,Newark,Ohio,OH
43081,Westerville,Ohio,OH
43085,Columbus,Ohio,OH
43125,Groveport,Ohio,OH
43301,Marion,Ohio,OH
43601,Toledo,Ohio,OH
44030,Conneaut,Ohio,OH
44052,Lorain,Ohio,OH
44101,Cleveland,Ohio,OH
44117,Euclid,Ohio,OH
44221,Cuyahoga Falls,Ohio,OH
44240,Kent,Ohio,OH
44301,Akron,Ohio,OH
44481,Warren,Ohio,OH
44501,Youngstown,Ohio,OH
44646,Massillon,Ohio,OH
44701,Canton,Ohio,OH
44901,Mansfield,Ohio,OH
45011,Hamilton,Ohio,OH
45042,Middletown,Ohio,OH
45050,Monroe,Ohio,OH
45201,Cincinnati,Ohio,OH
45202,Cincinnati,Ohio,OH
45401,Dayton,Ohio,OH
45501,Springfield,Ohio,OH
45801,Lima,Ohio,OH
46011,Anderson,Indiana,IN
46032,Carmel,Indiana,IN
46060,Noblesville,Indiana,IN
46201,Indianapolis,Indiana,IN
46320,Hammond,Indiana,IN
46383,Valparaiso,Indiana,IN
46401,Gary,Indiana,IN
46514,Elkhart,Indiana,IN
46526,Goshen,Indiana,IN
46544,Mishawaka,Indiana,IN
46580,Warsaw,Indiana,IN
46601,South Bend,Indiana,IN
46801,Fort Wayne,Indiana,IN
46901,Kokomo,Indiana,IN
47130,Jeffersonville,Indiana,IN
47201,Columbus,Indiana,IN
47302,Muncie,Indiana,IN
47401,Bloomington,Indiana,IN
47546,Jasper,Indiana,IN
47701,Evansville,Indiana,IN
47801,Terre Haute,Indiana,IN
47901,Lafayette,Indiana,IN
47906,West Lafayette,Indiana,IN
47933,Crawfordsville,Indiana,IN
48007,Troy,Michigan,MI
48034,Southfield,Michigan,MI
48035,Clinton Township,Michigan,MI
48067,Royal Oak,Michigan,MI
48080,Saint Clair Shores,Michigan,MI
48088,Warren,Michigan,MI
48103,Ann Arbor,Michigan,MI
48120,Dearborn,Michigan,MI
48150,Livonia,Michigan,MI
48201,Detroit,Michigan,MI
48301,Bloomfield Hills,Michigan,MI
48306,Rochester,Michigan,MI
48310,Sterling Heights,Michigan,MI
48315,Utica,Michigan,MI
48322,West Bloomfield,Michigan,MI
48327,Waterford,Michigan,MI
48331,Farmington,Michigan,MI
48340,Pontiac,Michigan,MI
48346,Clarkston,Michigan,MI
48359,Lake Orion,Michigan,MI
48374,Novi,Michigan,MI
48501,Flint,Michigan,MI
48509,Burton,Michigan,MI
48601,Saginaw,Michigan,MI
48640,Midland,Michigan,MI
48706,Bay City,Michigan,MI
48804,Mount Pleasant,Michigan,MI
48823,East Lansing,Michigan,MI
48843,Howell,Michigan,MI
48901,Lansing,Michigan,MI
49001,Kalamazoo,Michigan,MI
49002,Portage,Michigan,MI
49014,Battle Creek,Michigan,MI
49201,Jackson,Michigan,MI
49301,Ada,Michigan,MI
49422,Holland,Michigan,MI
49440,Muskegon,Michigan,MI
49501,Grand Rapids,Michigan,MI
49684,Traverse City,Michigan,MI
49784,Kincheloe,Michigan,MI
50010,Ames,Iowa,IA
50138,Knoxville,Iowa,IA
50265,West Des Moines,Iowa,IA
50301,Des Moines,Iowa,IA
50701,Waterloo,Iowa,IA
51101,Sioux City,Iowa,IA
51501,Council Bluffs,Iowa,IA
51601,Shenandoah,Iowa,IA
52001,Dubuque,Iowa,IA
52240,Iowa City,Iowa,IA
52401,Cedar Rapids,Iowa,IA
52732,Clinton,Iowa,IA
52801,Davenport,Iowa,IA
53005,Brookfield,Wisconsin,WI
53081,Sheboygan,Wisconsin,WI
53140,Kenosha,Wisconsin,WI
53186,Waukesha,Wisconsin,WI
53201,Milwaukee,Wisconsin,WI
53401,Racine,Wisconsin,WI
53545,Janesville,Wisconsin,WI
53701,Madison,Wisconsin,WI
54301,Green Bay,Wisconsin,WI
54401,Wausau,Wisconsin,WI
54404,Marshfield,Wisconsin,WI
54601,La Crosse,Wisconsin,WI
54701,Eau Claire,Wisconsin,WI
54901,Oshkosh,Wisconsin,WI
54911,Appleton,Wisconsin,WI
54935,Fond du Lac,Wisconsin,WI
55101,Saint Paul,Minnesota,MN
55311,Osseo,Minnesota,MN
55344,Eden Prairie,Minnesota,MN
55348,Maple Plain,Minnesota,MN
55357,Loretto,Minnesota,MN
55362,Monticello,Minnesota,MN
55368,Norwood,Minnesota,MN
55394,Young America,Minnesota,MN
55401,Minneapolis,Minnesota,MN
55447,Minneapolis,Minnesota,MN
55730,Grand Rapids,Minnesota,MN
55801,Duluth,Minnesota,MN
55901,Rochester,Minnesota,MN
56001,Mankato,Minnesota,MN
56301,Saint Cloud,Minnesota,MN
56560,Moorhead,Minnesota,MN
57101,Sioux Falls,South Dakota,SD
57701,Rapid City,South Dakota,SD
58074,Wahpeton,North Dakota,ND
58102,Fargo,North Dakota,ND
